City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
69,Vaini,-21.2,-175.2,68.0,100,20,3.36,TO,2020-06-23 20:08:17
70,Georgetown,5.41,100.34,80.6,88,20,3.36,MY,2020-06-23 20:04:23
71,Vanimo,-2.67,141.3,78.39,85,59,4.88,PG,2020-06-23 20:08:18
72,Mataura,-46.19,168.86,39.0,83,93,3.0,NZ,2020-06-23 20:08:18
73,Obo,5.4,26.49,70.05,90,100,3.0,CF,2020-06-23 20:08:18
74,Rafai,4.95,23.92,72.09,88,98,2.93,CF,2020-06-23 20:08:18
75,Port Victoria,0.09,33.98,72.05,67,17,3.02,KE,2020-06-23 20:08:18
76,Albany,42.6,-73.97,89.6,40,75,13.87,US,2020-06-23 20:04:21
77,Hasaki,35.73,140.83,68.0,100,75,8.05,JP,2020-06-23 20:08:18
78,Palu,-0.89,119.87,75.54,82,93,2.77,ID,2020-06-23 20:08:18
79,Matara,5.95,80.54,78.87,89,100,7.78,LK,2020-06-23 20:08:18
80,Port Augusta,-32.5,137.77,42.8,93,0,5.82,AU,2020-06-23 20:08:18
81,Coquimbo,-29.95,-71.34,57.2,87,90,5.82,CL,2020-06-23 20:08:18
82,Hermanus,-34.42,19.23,50.0,95,0,4.16,ZA,2020-06-23 20:08:18
83,Belmonte,-15.86,-38.88,77.0,50,20,4.7,BR,2020-06-23 20:08:19
84,Traverse City,44.76,-85.62,60.8,82,90,17.22,US,2020-06-23 20:08:19
85,Hilo,19.73,-155.09,71.6,83,90,7.0,US,2020-06-23 20:04:11
86,Airai,-8.93,125.41,55.38,100,47,3.42,TL,2020-06-23 20:08:19
87,Torbay,47.67,-52.73,80.01,65,20,21.92,CA,2020-06-23 20:05:13
88,Bonthe,7.53,-12.51,78.84,86,12,7.29,SL,2020-06-23 20:08:19
89,East London,-33.02,27.91,69.04,31,0,6.78,ZA,2020-06-23 20:08:19
90,Pochutla,15.74,-96.47,87.8,58,90,7.52,MX,2020-06-23 20:08:19
