City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
312,mwene-ditu,CD,62.49,-7.0,23.45,Hôtel Kamas
313,boa vista,BR,78.8,2.82,-60.67,Aipana Plaza Hotel
314,wanning,CN,88.48,18.8,110.4,Paradise Hotel
318,half moon bay,US,69.01,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
319,praia da vitoria,PT,60.8,38.73,-27.07,Hotel Branco I
321,mulege,MX,83.41,26.88,-111.98,Casa Granada
322,praya,CV,77.0,14.92,-23.51,LT Aparthotel
323,quatre cocos,MU,71.6,-20.21,57.76,Veranda Palmar Beach Hotel
325,paungde,MM,88.05,18.48,95.5,Shwe Eain Matt highly cool guest house
328,simbahan,PH,83.97,6.3,120.58, 
329,saint george,US,99.0,37.1,-113.58,Best Western Plus Abbey Inn
330,chapais,CA,64.4,49.78,-74.85,Hôtel Opémiska
331,itarema,BR,77.67,-2.92,-39.92,Windvillage
332,coolum beach,AU,66.99,-26.53,153.1,Coolum Beach Resort
334,bathsheba,BB,78.8,13.22,-59.52,Atlantis Hotel
335,zhigansk,RU,74.73,66.77,123.37,Gostinichnyy Kompleks Aylgy
336,turkistan,KZ,82.2,43.0,68.0, 
338,champerico,GT,82.65,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
339,padang,ID,78.26,-0.95,100.35,Mercure Padang
340,labuhan,ID,83.97,-6.88,112.21,bador sepret
341,zyryanka,RU,83.16,65.75,150.85,Zyryanka
343,lusambo,CD,67.1,-4.97,23.45, 
344,quelimane,MZ,69.8,-17.88,36.89,Hotel Flamingo
347,demba,CD,64.9,-5.51,22.27, 
349,goderich,CA,63.0,43.75,-81.72,Harmony Inn
352,ormara,PK,86.04,25.21,64.64, 
353,almaznyy,RU,64.4,48.04,40.05, 
354,gold coast,AU,66.0,-28.0,153.43,Mantra Towers of Chevron Surfers Paradise
355,trairi,BR,77.59,-3.28,-39.27,Pousada Field Lilies - Trairi
356,fortuna,US,61.0,40.6,-124.16,Super 8 by Wyndham Fortuna
357,umm lajj,SA,92.66,25.02,37.27,Moon light Furnished Units
360,tutoia,BR,76.23,-2.76,-42.27,Pousada Guará's
361,iquitos,PE,72.3,-3.75,-73.25,Cortez Malaga Techy Caroly
362,souillac,MU,71.6,-20.52,57.52,Bils' Villa
364,marabba,SD,82.4,12.35,32.18, 
367,dingle,PH,89.11,11.0,122.67,Camp Pasica
369,acari,PE,63.34,-15.43,-74.62,Hospedaje Ximens
370,vila franca do campo,PT,60.8,37.72,-25.43,Pestana Bahia Praia
371,plettenberg bay,ZA,62.62,-34.05,23.37,Thanda Vista B&B
372,casino,AU,64.99,-28.87,153.05,Squatters Homestead Motel
373,isangel,VU,77.0,-19.55,169.27,Volcano Sea View Tree House
377,aras,ES,73.4,42.56,-2.36,Jardines de Viana Spa
378,baker city,US,86.0,44.77,-117.83,Bridge Street Inn
