City_ID,City,Cloudiness,Country,Current Description,Humidity,Lat,Lng,Max Temp,Rain (inches),Snow (inches),Wind Speed
364,marabba,97,SD,overcast clouds,62,12.35,32.18,82.4,0.0,0,18.84
365,albina,100,SR,light rain,97,5.5,-54.05,73.94,0.53,0,2.19
366,chuy,100,UY,light rain,91,-33.7,-53.46,65.1,0.11,0,3.83
367,dingle,96,PH,overcast clouds,62,11.0,122.67,89.11,0.0,0,7.99
368,arman,6,RU,clear sky,68,59.7,150.17,57.09,0.0,0,7.29
369,acari,42,PE,scattered clouds,63,-15.43,-74.62,63.34,0.0,0,3.74
370,vila franca do campo,20,PT,light intensity shower rain,93,37.72,-25.43,60.8,0.0,0,16.11
371,plettenberg bay,0,ZA,clear sky,40,-34.05,23.37,62.62,0.0,0,5.23
372,casino,0,AU,clear sky,42,-28.87,153.05,64.99,0.0,0,11.41
373,isangel,90,VU,overcast clouds,94,-19.55,169.27,77.0,0.0,0,3.89
374,okha,100,RU,overcast clouds,92,53.57,142.95,43.45,0.0,0,11.07
375,westport,66,US,light rain,94,41.14,-73.36,72.0,0.18,0,7.34
376,dubna,0,RU,clear sky,77,56.73,37.17,58.55,0.0,0,4.79
377,aras,0,ES,clear sky,64,42.56,-2.36,73.4,0.0,0,8.05
378,baker city,1,US,clear sky,30,44.77,-117.83,86.0,0.0,0,4.7
379,harper,100,LR,overcast clouds,81,4.38,-7.72,76.24,0.0,0,6.91
380,haines junction,0,CA,clear sky,45,60.75,-137.51,54.03,0.0,0,10.31
381,teya,14,RU,few clouds,34,60.38,92.63,82.65,0.0,0,2.19
382,warri,91,NG,overcast clouds,96,5.52,5.75,74.95,0.0,0,1.43
383,tarancon,20,ES,few clouds,39,40.01,-3.01,78.8,0.0,0,11.41
384,marienburg,80,PL,broken clouds,100,54.04,19.03,60.01,0.0,0,5.82
385,lulea,99,SE,overcast clouds,93,65.58,22.15,62.6,0.0,0,2.24
386,emporia,1,US,clear sky,60,38.4,-96.18,71.6,0.0,0,4.7
