City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
94,Ahipara,-35.17,173.17,61.02,83,93,12.75,NZ,2020-06-23 23:19:03
95,Igarka,67.47,86.58,57.15,61,88,6.13,RU,2020-06-23 23:19:04
96,Andenes,69.31,16.12,51.8,93,100,2.24,NO,2020-06-23 23:19:04
97,Pisco,-13.7,-76.22,64.4,82,40,6.93,PE,2020-06-23 23:19:04
98,Atuona,-9.8,-139.03,80.02,71,7,13.94,PF,2020-06-23 23:19:04
99,Longido,-2.73,36.68,62.62,85,35,11.56,TZ,2020-06-23 23:19:04
100,Gharghoda,22.17,83.35,79.65,83,39,3.69,IN,2020-06-23 23:19:04
101,Tiksi,71.69,128.87,58.1,59,1,5.7,RU,2020-06-23 23:19:04
102,Lavrentiya,65.58,-171.0,41.02,68,99,8.1,RU,2020-06-23 23:19:04
103,Bahia Blanca,-38.72,-62.27,49.37,48,5,5.26,AR,2020-06-23 23:15:08
104,Nanortalik,60.14,-45.24,41.9,75,45,6.2,GL,2020-06-23 23:19:04
105,Caravelas,-17.71,-39.25,68.49,64,0,2.33,BR,2020-06-23 23:19:05
106,Hualmay,-11.1,-77.61,62.67,82,77,9.44,PE,2020-06-23 23:19:05
107,Necochea,-38.55,-58.74,46.99,97,81,8.08,AR,2020-06-23 23:19:05
108,Ketchikan,55.34,-131.65,57.2,71,75,9.17,US,2020-06-23 23:19:05
109,Souillac,-20.52,57.52,71.6,83,20,5.82,MU,2020-06-23 23:19:05
110,Tasiilaq,65.61,-37.64,46.4,75,100,9.17,GL,2020-06-23 23:19:05
111,Leningradskiy,69.38,178.42,33.55,90,99,12.64,RU,2020-06-23 23:19:05
112,Odweyne,9.41,45.06,76.37,57,78,14.14,SO,2020-06-23 23:19:06
113,Shimoda,34.67,138.95,69.01,91,22,1.01,JP,2020-06-23 23:19:06
114,Uglovskoye,51.36,80.19,61.66,62,75,4.7,RU,2020-06-23 23:19:06
115,Deer Lake,49.17,-57.43,78.8,61,75,6.93,CA,2020-06-23 23:19:06
116,Agustin Codazzi,10.03,-73.24,84.51,59,52,4.94,CO,2020-06-23 23:19:06
117,Yarmouth,41.71,-70.23,73.4,88,90,10.29,US,2020-06-23 23:17:14
118,Alpatovo,43.7,45.24,66.2,72,0,2.24,RU,2020-06-23 23:19:06
119,Buraydah,26.33,43.98,75.2,22,6,6.93,SA,2020-06-23 23:19:06
120,Florianopolis,-27.61,-48.5,71.6,73,0,11.41,BR,2020-06-23 23:15:15
121,Bluff,-46.6,168.33,47.14,87,97,6.91,NZ,2020-06-23 23:19:06
122,Pevek,69.7,170.31,32.54,96,100,12.01,RU,2020-06-23 23:19:06
123,Salalah,17.02,54.09,78.8,100,75,3.36,OM,2020-06-23 23:19:07
124,Taoudenni,22.68,-3.98,96.71,9,0,12.17,ML,2020-06-23 23:19:07
125,Thompson,55.74,-97.86,80.6,32,40,6.93,CA,2020-06-23 23:16:06
126,Chuy,-33.7,-53.46,67.06,85,87,8.86,UY,2020-06-23 23:19:07
127,San Vicente,-26.62,-54.13,65.46,73,0,5.97,AR,2020-06-23 23:19:07
128,Alofi,-19.06,-169.92,82.4,69,40,6.93,NU,2020-06-23 23:19:08
129,Devils Lake,48.11,-98.87,75.2,44,75,3.36,US,2020-06-23 23:19:08
130,Puyang,29.46,119.89,80.38,87,100,2.26,CN,2020-06-23 23:19:08
131,San Ramon,37.78,-121.98,91.4,29,1,13.87,US,2020-06-23 23:18:06
132,Broome,42.25,-75.83,78.01,61,1,6.93,US,2020-06-23 23:19:08
133,Korla,41.76,86.15,78.33,19,100,11.25,CN,2020-06-23 23:19:08
134,Bilibino,68.05,166.44,56.7,38,66,3.51,RU,2020-06-23 23:19:08
135,Tuktoyaktuk,69.45,-133.04,37.4,93,90,16.11,CA,2020-06-23 23:19:08
136,Nouadhibou,20.93,-17.03,71.6,73,0,18.34,MR,2020-06-23 23:19:08
137,Kaitangata,-46.28,169.85,52.0,75,95,1.92,NZ,2020-06-23 23:19:09
138,Nouakchott,18.09,-15.98,78.8,83,1,10.29,MR,2020-06-23 23:19:09
139,Kloulklubed,7.04,134.26,80.6,94,75,7.23,PW,2020-06-23 23:19:09
140,Bethel,41.37,-73.41,80.6,61,1,13.87,US,2020-06-23 23:19:09
141,Tilichiki,60.47,166.1,65.73,41,0,3.94,RU,2020-06-23 23:19:09
142,Nyurba,63.28,118.33,66.83,59,77,8.46,RU,2020-06-23 23:19:10
143,College,64.86,-147.8,57.2,67,90,6.93,US,2020-06-23 23:19:10
144,Sochi,43.6,39.73,78.01,78,0,2.24,RU,2020-06-23 23:19:10
145,Norman Wells,65.28,-126.83,53.6,76,75,19.46,CA,2020-06-23 23:19:10
146,Sinazongwe,-17.26,27.46,63.21,55,0,6.82,ZM,2020-06-23 23:19:10
147,Ponta Delgada,37.73,-25.67,62.6,88,40,19.46,PT,2020-06-23 23:19:10
148,Westport,41.14,-73.36,80.6,65,1,6.93,US,2020-06-23 23:19:10
149,Novoukrayinka,48.33,31.53,66.16,81,42,6.62,UA,2020-06-23 23:19:10
150,Mogadishu,2.04,45.34,77.86,85,56,19.06,SO,2020-06-23 23:19:10
151,Carroll,39.55,-77.02,80.01,72,93,4.99,US,2020-06-23 23:19:10
152,Guasdualito,7.24,-70.73,84.2,79,40,3.36,VE,2020-06-23 23:19:11
153,Nogliki,51.83,143.17,43.3,91,100,10.07,RU,2020-06-23 23:19:11
154,Mecca,21.43,39.83,90.39,17,87,6.76,SA,2020-06-23 23:19:11
155,Saint-Philippe,-21.36,55.77,68.0,72,75,5.82,RE,2020-06-23 23:19:11
156,Ponta Do Sol,32.67,-17.1,69.8,68,20,12.75,PT,2020-06-23 23:19:11
157,Shelton,41.32,-73.09,82.4,65,1,6.93,US,2020-06-23 23:16:17
158,Moindou,-21.69,165.68,77.0,61,0,3.36,NC,2020-06-23 23:19:11
159,Goryachegorsk,55.41,88.92,57.94,85,63,3.29,RU,2020-06-23 23:19:11
160,Sao Joao Da Barra,-21.64,-41.05,70.84,78,100,11.3,BR,2020-06-23 23:19:11
161,Saint George,37.1,-113.58,106.0,8,1,12.75,US,2020-06-23 23:19:11
162,Arraial Do Cabo,-22.97,-42.03,71.6,64,100,4.7,BR,2020-06-23 23:19:11
163,Sisimiut,66.94,-53.67,42.48,68,31,6.98,GL,2020-06-23 23:19:11
164,Nanuet,41.09,-74.01,84.99,65,52,6.35,US,2020-06-23 23:14:25
165,Epe,6.58,3.98,77.02,87,85,3.67,NG,2020-06-23 23:19:12
166,Etchoropo,26.77,-109.67,100.0,38,0,5.01,MX,2020-06-23 23:19:12
167,Codrington,-38.27,141.97,49.91,95,20,5.64,AU,2020-06-23 23:19:12
168,Port Lincoln,-34.73,135.87,49.62,74,0,6.82,AU,2020-06-23 23:19:12
169,Tura,25.52,90.22,74.55,97,57,4.41,IN,2020-06-23 23:19:12
170,Clovis,36.83,-119.7,102.99,20,75,5.82,US,2020-06-23 23:16:26
171,Constitucion,-35.33,-72.42,49.24,82,94,7.87,CL,2020-06-23 23:19:12
172,Upernavik,72.79,-56.15,34.81,89,0,10.63,GL,2020-06-23 23:19:12
173,Wuning,29.26,120.23,80.19,88,100,1.88,CN,2020-06-23 23:19:12
174,East London,-33.02,27.91,67.37,27,0,6.15,ZA,2020-06-23 23:19:12
175,Ottawa,45.41,-75.7,84.2,51,75,13.87,CA,2020-06-23 23:17:07
176,Longyearbyen,78.22,15.64,44.6,75,75,3.36,SJ,2020-06-23 23:19:12
177,Villaviciosa,43.48,-5.44,69.01,83,3,3.6,ES,2020-06-23 23:19:12
178,Blagoyevo,63.37,47.92,40.01,72,100,7.47,RU,2020-06-23 23:19:13
179,Georgetown,5.41,100.34,80.6,94,20,3.36,MY,2020-06-23 23:17:11
180,Mahebourg,-20.41,57.7,71.6,83,20,5.82,MU,2020-06-23 23:19:13
181,Kieta,-6.22,155.63,84.18,65,26,6.35,PG,2020-06-23 23:19:13
182,Tartagal,-22.52,-63.8,71.17,72,0,3.11,AR,2020-06-23 23:15:32
183,Muravlenko,63.79,74.52,47.44,78,53,7.34,RU,2020-06-23 23:19:13
184,Vanavara,60.34,102.28,65.39,68,53,3.56,RU,2020-06-23 23:19:13
185,Zhigalovo,54.81,105.16,64.67,70,4,0.83,RU,2020-06-23 23:19:13
186,Mangrol,21.12,70.12,84.47,80,85,8.84,IN,2020-06-23 23:19:14
187,Camacha,33.08,-16.33,68.0,77,40,12.75,PT,2020-06-23 23:19:14
188,Luderitz,-26.65,15.16,64.4,42,0,3.36,NA,2020-06-23 23:19:14
189,Yazoo City,32.86,-90.41,87.8,58,1,6.93,US,2020-06-23 23:19:14
190,Minab,27.15,57.08,89.6,79,20,6.93,IR,2020-06-23 23:19:14
191,Warwick,41.7,-71.42,77.0,83,40,10.29,US,2020-06-23 23:19:14
192,Faanui,-16.48,-151.75,78.82,81,100,16.87,PF,2020-06-23 23:19:14
193,Port Blair,11.67,92.75,82.47,80,100,7.27,IN,2020-06-23 23:19:14
194,Adrar,20.5,-10.07,98.91,16,54,5.14,MR,2020-06-23 23:19:14
195,Ancud,-41.87,-73.82,42.01,100,67,4.7,CL,2020-06-23 23:19:15
196,Siddhapur,23.92,72.38,86.29,68,87,7.74,IN,2020-06-23 23:19:15
197,Tolmin,46.18,13.73,63.0,62,32,7.0,SI,2020-06-23 23:19:15
198,Tromso,69.65,18.96,53.6,81,75,12.75,NO,2020-06-23 23:15:32
199,Rudbar,30.15,62.6,84.67,19,0,9.64,AF,2020-06-23 23:19:15
200,Camopi,3.17,-52.32,74.93,95,100,3.38,GF,2020-06-23 23:18:04
201,Gorontalo,0.54,123.06,76.55,91,97,4.45,ID,2020-06-23 23:19:15
202,Yulara,-25.24,130.99,32.0,58,0,5.82,AU,2020-06-23 23:19:15
203,Beringovskiy,63.05,179.32,38.8,79,57,5.35,RU,2020-06-23 23:19:15
204,Cabo San Lucas,22.89,-109.91,89.6,42,5,19.46,MX,2020-06-23 23:19:15
205,Coquimbo,-29.95,-71.34,55.4,100,90,5.82,CL,2020-06-23 23:19:16
